IOTFLOW,DYNAMIC,MATCH,REASON,IoT-RELATED,IoT-RELATED 2,IoT-RELATED REASON,
firebaseinstallations.googleapis.com,firebaseinstallations.googleapis.com,exact,,,,,
firebase-settings.crashlytics.com,firebase-settings.crashlytics.com,exact,,,,,
wizconnected.com,wizconnected.com,exact,,b,b,vendor,
pro.appairing.wiz.world,pro.appairing.wiz.world,exact,,b,b,vendor,
reports.crashlytics.com,crashlyticsreports-pa.googleapis.com,manual,redirect,,,,
,graph.facebook.com,,,,,,
,ws.wiz.world,,,d,d,vendor,
,status.wiz.world,,,,,vendor,
,assets.wizconnected.com,,,,,,
,stackpath.bootstrapcdn.com,,,,,,
,connectivitycheck.gstatic.com,,,,,,
,play.googleapis.com,,,,,,
,wizconnected.helpshift.com,,,,,,
,hcaptcha.wiz.world,,,,,,
,api.wiz.world,,,d,d,vendor,
,google.com,,,,,,
,10.42.0.172,,,,,,
,clientservices.googleapis.com,,,,,,
,192.168.56.1,,,,,local,
accounts.google.com,,,,,,,
googleadservices.com,,,,,,,
pagead2.googlesyndication.com,,,,,,,
update.crashlytics.com,,,,,,,
,,,,,,,
