DOMAINS,IoTFlow Total,Dynamic Total,Exact Match,Manual Match,All Match,IoT-Related IoTFlow only,IoT-Related Dynamic only,IoT-Related Both,,,,,,,,,,,,,
Bose,14,17,5,3,8,2,1,5,,,,,,,,,,,,,
Divoom,34,17,3,0,3,6,4,1,,,,,,,,,,,,,
Fitbit,10,20,3,0,3,1,2,3,,,,,,,,,,,,,
Fitpro,22,14,3,0,3,0,0,1,,,,,,,,,,,,,
Flowercare,30,7,1,0,1,8,2,1,,,,,,,,,,,,,
Hama,8,9,2,0,2,0,4,1,,,,,,,,,,,,,
Hue,6,6,4,0,4,1,0,1,,,,,,,,,,,,,
Ikea,15,48,2,3,5,4,1,1,,,,,,,,,,,,,
Kindelf,3,1,0,0,0,0,0,0,,,,,,,,,,,,,
Lifx,13,26,3,0,3,1,1,2,,,,,,,,,,,,,
Nut,42,15,5,0,5,10,0,2,,,,,,,,,,,,,
Soundcore,8,19,1,0,1,0,2,1,,,,,,,,,,,,,
Wiz,9,19,4,1,5,0,2,2,,,,,,,,,,,,,
sum,214,218,36,7,43,33,19,21,,,,,,,,,,,,,
min,3,1,,,,0,0,0,,,,,,,,,,,,,
max,42,48,,,,10,4,5,,,,,,,,,,,,,
avg,16.46,16.77,,,,2.54,1.46,1.62,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PATHS,IoTFlow Total,Dynamic Total,Exact Match,Manual Match,All Match,IoT-Related IoTFlow only,IoT-Related Dynamic only,IoT-Related Both,,,,,,,,,,,,,
Bose,33,39,4,0,4,11,11,3,,,,,,,,,,,,,
Divoom,57,48,4,0,4,37,32,4,,,,,,,,,,,,,
Fitbit,33,54,0,17,17,11,26,17,,,,,,,,,,,,,
Fitpro,29,17,1,0,1,16,6,1,,,,,,,,,,,,,
Flowercare,46,4,0,1,1,31,1,0,,,,,,,,,,,,,
Hama,13,9,1,1,2,6,4,2,,,,,,,,,,,,,
Hue,26,7,2,1,3,1,2,1,,,,,,,,,,,,,
Ikea,77,51,1,1,2,45,0,0,,,,,,,,,,,,,
Kindelf,2,1,0,0,0,0,0,0,,,,,,,,,,,,,
Lifx,44,34,5,3,8,19,10,7,,,,,,,,,,,,,
Nut,54,17,2,1,3,8,3,2,,,,,,,,,,,,,
Soundcore,66,39,8,5,13,45,8,12,,,,,,,,,,,,,
Wiz,16,17,2,2,4,1,7,1,,,,,,,,,,,,,
sum,496,337,30,32,62,231,110,50,,,,,,,,,,,,,
min,2,1,,,,0,0,0,,,,,,,,,,,,,
max,77,54,,,,45,32,17,,,,,,,,,,,,,
avg,38.15,25.92,,,,17.77,8.46,3.85,,,,,,,,,,,,,
